Product name,Product number,Product price,Product description,Product url
Sure Grip Small Stainless Steel Cam Cleat,70-29,$132.15,"70-29 Sure Grip cam cleat features investment cast stainless steel cams that won't wear out or corrode.  Eye strap keeps line captive.  Max Line 7/16"" (11 mm), L 2-11/16"" (68 mm), W 1-13/32"" (36 mm), H 15/16"" (24 mm),SWL 500 lbs. (225 kg), Weight 4.5 oz. (0.12 kg)",https://hardware.schaefermarine.com/collections/cleats/products/sure-grip-small-stainless-steel-cam-cleat-70-29
Sure Grip Large Cam / Wire Fairlead,70-38,$167.30,"70-38 Sure Grip cam cleat features investment cast stainless steel cams that won't wear out or corrode.  Wire fairlead guides line cleanly into cams.Max Line Size 5/8"" (16 mm), Fastener Size (2), # RH (5 mm), C/C 1-25/32"" (45 mm), L 3-3/16"" (81 mm), W 1-11/16"" (43 mm), H 1-1/8"" (28 mm), SWL 500 lbs. (225 kg), Weight 7 oz. (178 g)",https://hardware.schaefermarine.com/collections/cleats/products/sure-grip-large-cam-wire-fairlead-70-38
Plastic Fairlead - Red for 70-17 Cam,77-17-RED,$7.90,Mounts directly to our 70-17 Cam Cleat. Will require (2) #10 RH fasteners.,https://hardware.schaefermarine.com/collections/cleats/products/plastic-fairlead-red-for-70-17-cam-cleat
Cam Cleat Fairlead - Blue for 70-17 Cam,77-17-BLU,$7.90,Mounts directly to our 70-17 Cam Cleat. Will require (2) #10 RH fasteners.,https://hardware.schaefermarine.com/collections/cleats/products/cam-cleat-fairlead-blue-for-70-17-cam-cleat
"5"" Open Base",60-95,$50.60,"Length 5"" (127 mm), Line Score 1/2"" (13 mm), Fasteners (2), #12 FH (6 mm), C/C A 1-1/4"" (32 mm), Weght 2 oz. (57 g)",https://hardware.schaefermarine.com/collections/cleats/products/5-open-base-60-95
Sure-Grip Cam Cleat Small,70-28,$136.00,"70-28 Sure Grip cam cleat features investment cast stainless steel cams that won't wear out or corrode.  Wire fairlead guides line cleanly into cams.  Max Line Size 7/16"" (11 mm), Fastener Size (2), # RH (5 mm), C/C 1-1/2"" (38 mm), L 2-11/16"" (68 mm), W 1-13/32"" (36 mm), H 15/16"" (24 mm), SWL 500 lbs. (225 kg), Weight 4.5 oz (114 g)",https://hardware.schaefermarine.com/collections/cleats/products/sure-grip-cam-cleat-small-70-28
"Mid-Rail Chock/Cleat Stainless Steel 70-75 for 1-1/4""",70-75,$217.75,"Schaefer 70-75 Investment Cast 316 Stainless Steel Chock Cleat.   Easy adjustment with the simple lifting pin.  Please note, Schaefer T-Track Chock cleats will fit Schaefer T-Track measuring 1-1/4"" wide, 7/16"" overall height, 3/16"" ""T"" thickness and a base width of 11/16"". They will not fit earlier versions of T-Track or some competitors models.  L 7-1/2"" (190 mm), ID 1-3/4"" (45 mm), Line Size 5/8"" (16 mm), Track 1-1/4"" x 3/16"" (31 mm x 4.6 mm), Pin. Size .355, SWL 4500 lbs. (2045 kg), Weight 1.5 lbs. (.68 kg).",https://hardware.schaefermarine.com/collections/cleats/products/mid-rail-chock-cleat-stainless-steel-70-75
"4"" Open Base",70-94,$46.00,"4"" Aluminum Open Base Cleat.   Black 316 Anodized aluminum.  Length 4"" (102 mm), Line Score 3/8"" (10 mm), Fasteners (2), #10 FH (5 mm), C/C A 1"" (25 mm), Weight 1.5 oz. (43 g)",https://hardware.schaefermarine.com/collections/cleats/products/4-open-base-70-94
Cam Cleat Fairlead - Green for 70-17 Cam,77-17-GRN,$7.90,Mounts directly to our 70-17 Cam Cleat. Will require (2) #10 RH fasteners.,https://hardware.schaefermarine.com/collections/cleats/products/cam-cleat-fairlead-green-for-70-17-cam-cleat
Sure Grip Cam Cleat Large Cam / Eye Strap,70-39,$167.30,"70-39 Sure Grip cam cleat features investment cast stainless steel cams that won't wear out or corrode.  Eye strap keeps line captive.  Max Line Size 5/8"" (16 mm), Fastener Size (2), # RH (5 mm), C/C 1-25/32"" (45 mm), L 3-3/16"" (81 mm), W 1-11/16"" (43 mm), H 1-1/8"" (28 mm), SWL 500 lbs. (225 kg), Weight 7 oz. (178 g)",https://hardware.schaefermarine.com/collections/cleats/products/sure-grip-cam-cleat-large-cam-eye-strap-70-39
"8"" Aluminum Cleat Four Hole Deck",60-08,$96.50,"Length 8""(203 mm), Line Score 3/4"" (19 mm), Fasteners (4), 5/16"" FH (8 mm), C/C Long 2"" (51 mm), CC Across 2"" (51 mm), Weight 11.5 oz. (326 g)""",https://hardware.schaefermarine.com/collections/cleats/products/8-aluminum-cleat-four-hole-deck-60-08
"60-51 7-1/2"" Stainless Steel chock for lines up to",60-51,$108.64,"New Stainless Steel 7-1/2"" Chock. High Quality 316 Stainless Steel with soft internal radius for minimum chafe. Max line size 3/4"" (19mm), Length 7-1/2"" (190mm), Width 1-1/2"" (37mm), Height 2-1/8"" (54mm), Weight 1.87lb (.85kg), Requires (2) 1/2"" Flat Head fasteners on 6-1/8"" centers.",https://hardware.schaefermarine.com/collections/cleats/products/60-51-7-1-2-stainless-steel-chock-for-lines-up-to-3-4
"10"" Aluminum Cleat Four Hole Deck",60-10,$146.45,"Length 10""(254 mm), Line Score 7/8"" (22 mm), Fasteners (4), 3/8"", C/C Long 2-1/2 (63 mm), CC Across 2-1/2"" (63 mm), Weight 1 lb. 5 oz. (595 g)""",https://hardware.schaefermarine.com/collections/cleats/products/10-aluminum-cleat-four-hole-deck-60-10
"6"" Aluminum Cleat Four Hole Deck",60-06,$67.85,"Length 6""(152 mm), Line Score 7/16"" (11 mm), Fasteners (4), 1/4"" FH (6 mm), C/C Long 1-1/2"" (38 mm), CC Across 1-11/16"" (43 mm), Weight 5.5 oz. (156 g)""",https://hardware.schaefermarine.com/collections/cleats/products/6-aluminum-cleat-four-hole-deck-60-06
Plastic Fairlead - Blue for,77-07-BLU,$7.05,Mounts directly to our 70-07 Cam Cleat. Will require (2) #8 RH fasteners.,https://hardware.schaefermarine.com/collections/cleats/products/plastic-fairlead-blue-for-70-07
"8"" Open Base",60-98,$79.85,"Length 8"" (203 mm), Line Score 5/8"" (16 mm), (2), 5/16"" FH (8 mm), C/C A 2"" (51 mm), Weght 8.5 oz. (240 g)",https://hardware.schaefermarine.com/collections/cleats/products/8-open-base-60-98
"8"" Open Base",70-98,$93.15,"8"" Aluminum Open Base Cleat.   Black 316 Anodized aluminum.  Length 8"" (203 mm), Line Score 5/8"" (16 mm), Fasteners (2), 5/16"" FH (8 mm), C/C A 2"" (51 mm), Weght 8.5 oz. (240 g)",https://hardware.schaefermarine.com/collections/cleats/products/8-open-base-70-98
"6"" Open Base",70-96,$67.35,"6"" Aluminum Open Base Cleat.   Black 316 Anodized aluminum.  Length 6"" (152 mm), Line Score 5/8"" (16 mm), Fasteners (2), 1/4"" FH (6 mm), C/C A 1-1/2"" (38 mm), Weight 3.5 oz. (99 g)",https://hardware.schaefermarine.com/collections/cleats/products/6-open-base-70-96
Cam Cleat Fairlead - for 70-07 Cam,77-07-YEL,$7.05,Mounts directly to our 70-07 Cam Cleat. Will require (2) #8 RH fasteners.,https://hardware.schaefermarine.com/collections/cleats/products/cam-cleat-fairlead-for-70-07-cam-cleat
"Mid-Rail Chock/Cleat Stainless Steel 70-74 for 1""",70-74,$204.60,"Schaefer 70-74 Investment Cast 316 Stainless Steel Chock Cleat.   Easy adjustment with the simple lifting pin.  Please note, Schaefer T-Track Chock cleats will fit Schaefer T-Track measuring 1"" wide, 3/8"" overall height, 1/8"" ""T"" thickness and a base width of 1/2"". They will not fit earlier versions of T-Track or some competitors models.  L 6-1/2"" (165 mm), ID 1-7/16"" (180 mm), Line Size 1/2"" (13 mm), Track 1"" x 1/8"" (25 mm x 3 mm), Pin. Size 1/4"" (6 mm), SWL 2500 lbs. (1140 kg), Weight .9 lb. (.41 kg).",https://hardware.schaefermarine.com/collections/cleats/products/mid-rail-chock-cleat-stainless-steel-70-74
"5"" Self Jamming",60-79,$83.05,"Length 5"" (127 mm), Line Score 3/8"" (10 mm), Fasteners (2), #12 FH (6 mm), C/C A 1-5/16"" (33 mm), Weght 2.5 oz. (71 g)",https://hardware.schaefermarine.com/collections/cleats/products/5-self-jamming-60-79
"6"" Aluminum Cleat Four Hole Deck",70-06,$74.00,"Length 6""(152 mm), Line Score 7/16"" (11 mm), Fasteners (4), 1/4"" FH (6 mm), C/C Long 1-1/2"" (38 mm), CC Across 1-11/16"" (43 mm), Weight 5.5 oz. (156 g)""",https://hardware.schaefermarine.com/collections/cleats/products/6-aluminum-cleat-four-hole-deck-70-06
Cam Cleat Fairlead - Red for 70-07 Cam,77-07-RED,$7.05,Mounts directly to our 70-07 Cam Cleat. Will require (2) #8 RH fasteners.,https://hardware.schaefermarine.com/collections/cleats/products/cam-cleat-fairlead-red-for-70-07-cam-cleat
Small Cam/ Swivel Base with 70-17 Cam,70-61,$204.60,"Swivel cam base features our Fast Entry cam cleat.  Swivel base allows for quick and easy line engagement from a variety of angles.  Max Line Size 7/16"" (11 mm), Fastener Size (3), #10 FH(5 mm), C/C 1"" (25 mm), L 3-1/4"" (83 mm), W 2"" (50 mm), H 2 "" (50 mm), SWL 300 lbs. (135kg), Weight 6.5 oz. (184 g)",https://hardware.schaefermarine.com/collections/cleats/products/small-cam-swivel-base-with-70-17-cam-cleat
"60-61 9-1/4"" Stainless Steel Chock for lines up to 1""",60-61,$192.71,"New Stainless Steel 9-1/4"" Chock. High Quality 316 Stainless Steel with soft internal radius for minimum chafe. Max line size 1"" (25mm), Length 9-1/4"" (235mm), Width 2"" (51mm), Height 2-3/4"" (69mm), Weight 4 lbs (1.82kg), Requires (2) 1/2"" Flat Head fasteners on 7-1/2"" centers.",https://hardware.schaefermarine.com/collections/cleats/products/60-61-9-1-4-stainless-steel-chock-for-lines-up-to-1-line
"10"" Aluminum Cleat Four Hole Deck",70-10,$159.65,"Length 10""(254 mm), Line Score 7/8"" (22 mm), Fasteners (4), 3/8"", C/C Long 2-1/2 (63 mm), CC Across 2-1/2"" (63 mm), Weight 1 lb. 5 oz. (595 g)""",https://hardware.schaefermarine.com/collections/cleats/products/10-aluminum-cleat-four-hole-deck-70-10
Plastic Fairlead - Yellow for 70-17 Cam,77-17-YEL,$7.90,Mounts directly to our 70-17 Cam Cleat. Will require (2) #10 RH fasteners.,https://hardware.schaefermarine.com/collections/cleats/products/plastic-fairlead-yellow-for-70-17-cam-cleat
"4"" Self Jamming",60-78,$66.45,"Length 4"" (102 mm), Line Score 5/16"" (8 mm), Fasteners (2), #10 FH (5 mm), C/C A 1-1/16"" (27 mm), Weight 1.5 oz. (43 g)",https://hardware.schaefermarine.com/collections/cleats/products/4-self-jamming-60-78
"6"" Self Jamming",70-80,$122.10,"6"" Aluminum jamming cleat.   Perfect for jib or spinnaker sheets as a simple and strong attachment.  316 Black anodized aluminum.  Length 6"" (152 mm), Line Score 1/2"" (13 mm), Fasteners (2), 1/4"" FH (6 mm), C/C A 1-1/2"" (38 mm), Weight 4 oz. (113 g)",https://hardware.schaefermarine.com/collections/cleats/products/6-self-jamming-70-80
"5"" Self Jamming",70-79,$96.90,"5"" Aluminum jamming cleat.   Perfect for jib or spinnaker sheets as a simple and strong attachment.  316 Black anodized aluminum.  Length 5"" (127 mm), Line Score 3/8"" (10 mm), Fasteners (2), #12 FH (6 mm), C/C A 1-5/16"" (33 mm), Weght 2.5 oz. (71 g)",https://hardware.schaefermarine.com/collections/cleats/products/5-self-jamming-70-79
"4"" Self Jamming",70-78,$77.50,"5"" Aluminum jamming cleat.   Perfect for jib or spinnaker sheets as a simple and strong attachment.  316 Black anodized aluminum.   Length 4"" (102 mm), Line Score 5/16"" (8 mm), Fasteners (2), #10 FH (5 mm), C/C A 1-1/16"" (27 mm), Weight 1.5 oz. (43 g)",https://hardware.schaefermarine.com/collections/cleats/products/4-self-jamming-70-78
"6"" Self Jamming",60-80,$104.65,"Length 6"" (152 mm), Line Score 1/2"" (13 mm), Fasteners (2), 1/4"" FH (6 mm), C/C A 1-1/2"" (38 mm), Weght 4 oz. (113 g)",https://hardware.schaefermarine.com/collections/cleats/products/6-self-jamming-60-80
"8"" Aluminum Cleat Four Hole Deck",70-08,$105.25,"Length 8""(203 mm), Line Score 3/4"" (19 mm), Fasteners (4), 5/16"" FH (8 mm), C/C Long 2"" (51 mm), CC Across 2"" (51 mm), Weight 11.5 oz. (326 g)""",https://hardware.schaefermarine.com/collections/cleats/products/8-aluminum-cleat-four-hole-deck-70-08
Cam Cleat Eye Strap for,78-63,$5.60,"Stainless eyestrap c/c hole spacing 1 1/16"" #8FH for 70-07 cam cleat",https://hardware.schaefermarine.com/collections/cleats/products/cam-cleat-eye-strap-for-70-07
SS Welded Pad Eye,78-01,$49.45,"316 Stainless Steel Welded Pad eye.  Eye Width 7/8"" (22 mm), Eye Height 7/8"" (22 mm), Eye Stock 1/4"" (6 mm), L 3"" (76 mm), Width 1"" (25 mm), Plate thickness 1/8"" (3.2mm) Fasteners (2), 1/4"" RH (6 mm), C/C 2-3/16"" (55 mm), SWL 2500 lbs. (1135 kg), Weight 3.25 oz. (92 g)",https://hardware.schaefermarine.com/collections/deck-hardware/products/ss-welded-pad-eye-78-01
"70-17 Fast Entry Cam Cleat for 1/4""-7/16"" Line",70-17,$46.90,"70-17 Fast Entry Cam Cleat. Features Die Cast Aluminum Cams, Delrin(tm) Ball Bearings, Computer Designed High Flare allows for easy entry at various angles. Safe Working Load 300 lbs (135kg) Line 1/4"" - 7/16"" (6mm - 12mm), Requires (2) #10 Flat Head Fasteners. 1.5"" (38mm) Centers. Matches Competitors Center to center measurements.",https://hardware.schaefermarine.com/collections/deck-hardware/products/fast-entry-cam-cleat-for-1-4-7-16-line-6mm-12mm-70-17
Plastic Fairlead - Green for,77-07-GRN,$7.05,Mounts directly to our 70-07 Cam Cleat. Will require (2) #8 RH fasteners.,https://hardware.schaefermarine.com/collections/cleats/products/plastic-fairlead-green-for-70-07
Investment Cast Pad Eye,78-07,$76.25,"78-07 Round base Stainless Steel investment cast padeye.  316 Stainless Steel includes delrin(tm) base.  Order Backing Plate 97-53 separately.   Eye Width 1"" (25 mm), Eye Height 13/16"" (21 mm), Eye Stock 3/8"" (10 mm), Length 2-1/2"" (64 mm), Width 2-1/2"" (64 mm), Fasteners (4), 1/4"" FH (6 mm), C/C A 1"" (25 mm), C/C B 1-1/2"" (38 mm), SWL 4000 lbs. (1800 kg)",https://hardware.schaefermarine.com/collections/deck-hardware/products/investment-cast-pad-eye-78-07
"60-150 6"" Open Base",60-150,$79.95,"6"" SS Open Base Cleat.  Includes urethane washers for isolation when attaching to spars.  Maximum line size 1/2"" (12mm), Length 6"" (152mm), Height 1.2"" (30mm), Fastener size 1/4"" FH, Fastener center/center 1.5"" (38mm), Weight 9.0oz (.26kg)",https://hardware.schaefermarine.com/collections/deck-hardware/products/60-150-6-open-base-cleat
Twisty Pegs - pack of,TP-20,$19.44,"With the solid one piece design and complete UV protection, the Twisty Peg will flex and twist as required, but will never break or snap. The no-spring design ensures that the Twisty Peg will not rust, seize up as it becomes used or stain your clothes. Twisty Pegs are washing machine safe, should they become dirty and are child safe.  One package includes 20 Twisty Pegs in four different colors.",https://hardware.schaefermarine.com/collections/deck-hardware/products/twisty-pegs-pack-of-20
"60-120 4.75"" Open Base",60-120,$54.85,"4.75"" SS Open Base Cleat.  Includes urethane washers for isolation when attaching to spars.  Maximum line size 3/8"" (10mm), Length 4.75"" (120mm), Height .9"" (23mm), Fastener size #10 FH, Fastener center/center 1.25"" (32mm), Weight 4.1oz (.12kg)",https://hardware.schaefermarine.com/collections/deck-hardware/products/60-120-4-75-open-base-cleat
SS Welded Pad Eye,78-05,$41.15,"Eye Width 1/2"" (13 mm), Eye Height 1/2"" (13 mm), Eye Stock 1/4"" (6 mm), Length 2-1/4"" (57 mm), Width 5/8"" (16 mm), Fasteners (2), #10 RH (5 mm), C/C 1-11/16"" (42 mm), SWL 750 lbs. (350 kg), Weight 1.75 oz. (50 g)",https://hardware.schaefermarine.com/collections/deck-hardware/products/ss-welded-pad-eye-78-05
Backing Plate for 78-17,97-54,$29.25,Backing plate for 78-17,https://hardware.schaefermarine.com/collections/deck-hardware/products/backing-plate-for-78-17-97-54
"60-75 3"" Open Base",60-75,$51.55,"3"" SS Open Base Cleat.  Includes urethane washers for isolation when attaching to spars.  Maximum line size 1/4"" (6mm), Length 3"" (76mm), Height .6"" (15mm), Fastener size #8 FH, Fastener center/center .78"" (20mm), Weight 1.3oz (.04kg)",https://hardware.schaefermarine.com/collections/deck-hardware/products/60-75-3-open-base-cleat
Investment Cast Pad Eye,78-17,$101.45,"78-17 Round base Heavy duty Investment cast padeye.  316 Stainless Steel includes delrin(tm) base.  Order Backing Plate 97-54 separately.   Eye Width 1-1/8"" (29 mm), Eye Height 7/8"" (22 mm), Eye Stock 1/2"" (13 mm), Length 3"" (76 mm), Width 3"" (76 mm), Fasteners (4), 3/8"" FH (10 mm) C/C A 1-1/8"" (29 mm), C/C B 1-11/16"" (43 mm), SWL 8500 lbs. (3800 kg)",https://hardware.schaefermarine.com/collections/deck-hardware/products/investment-cast-pad-eye-78-17
"Thru-Deck Fairlead 76-05 up to 7/16""",76-05,$40.55,"Injection molded plastic.  Accepts up to 7/16"" (11.5mm) line.  Soft radius edges reduce chafe.  Height = 1 1/8"" (29mm), Up to 7/16"" (11.5mm) line.  1"" (25.4mm) outside diameter (below deck) , 1-1/4"" (32mm) outside diameter (lip on deck)",https://hardware.schaefermarine.com/collections/deck-hardware/products/thru-deck-fairlead-76-05-up-to-7-16-11-5mm
78-69 Stamped Eye,78-69,$11.95,"78-69 Stamped Eye Strap.   Width 2-5/8"" (67mm), Center to Center (1/4"" Fasteners) 2-1/16 (52mm), Eye Height 3/4"" (19mm), Eye Width 7/8"" (22mm), SWL 500 lbs.   Works with 70-27 Cam Cleat.",https://hardware.schaefermarine.com/collections/deck-hardware/products/78-69-stamped-eye-strap
Eye Strap Stamped,78-66,$8.05,"Eye Width 7/16"" (11 mm), Eye Height 3/8"" (10 mm), L 1-7/16"" (37 mm), W 5/16"" (8 mm), Fasteners (2), #10 RH (5 mm), C/C 1-1/8"" (29 mm), SWL 400 lbs. (181 kg), Weight .5 oz. (14 g)",https://hardware.schaefermarine.com/collections/deck-hardware/products/eye-strap-stamped-78-66
Investment Cast Pad Eye,97-42,$96.65,"Investment cast square padeye.  316 Stainless Steel.  Order Backing Plate 97-52 separately.   Eye Width 3/4"" (19 mm), Eye Height 3/4"" (19 mm), Eye Stock 5/16"" (8 mm), Length 3"" (76 mm), Width 3"" (76 mm), Fasteners (4), 1/4"" FH (6 mm), C/C A 2"" (51 mm), C/C B 2"" (51 mm), SWL 4000 lbs. (1800 kg)",https://hardware.schaefermarine.com/collections/deck-hardware/products/investment-cast-pad-eye-97-42
"60-200 8"" Open Base",60-200,$140.65,"8"" SS Open Base Cleat.  Includes urethane washers for isolation when attaching to spars.  Maximum line size 5/8"" (16mm), Length 8"" (203mm), Height 2.0"" (51mm), Fastener size 5/16"" FH, Fastener center/center 2.0"" (51mm), Weight 1.3 lb (.59kg)",https://hardware.schaefermarine.com/collections/deck-hardware/products/60-200-8-open-base-cleat
SS Welded Pad Eye,78-25,$127.30,"Eye Width 1"" (25 mm), Eye Height 1"" (25 mm), Eye Stock 5/16"" (8 mm), Length 4-1/4"" (108 mm), Width 1-1/4"" (32 mm), Fasteners (2), 3/8"" RH (10 mm), C/C 3-1/16"" (77 mm), SWL 3000 lbs. (1350 kg), Weight 6 oz. (179 g)",https://hardware.schaefermarine.com/collections/deck-hardware/products/ss-welded-pad-eye-78-25
SS Welded Pad Eye,78-03,$32.60,"Eye Width 1/2"" (13 mm), Eye Height 1/2"" (13 mm), Eye Stock 3/16"" (5 mm), L 2"" (51 mm), W 5/8"" (16 mm), Fasteners (2), #10 RH (5 mm), C/C 1-7/16"" (37 mm), SWL 650 lbs. (295 kg), Weight .5 oz. (14 g)",https://hardware.schaefermarine.com/collections/deck-hardware/products/ss-welded-pad-eye-78-03
"Thru-Deck Fairlead 76-06 Up to 5/16"" (8mm)",76-06,$28.05,"Injection molded plastic thru deck fairlead.  Smooth radius edges reduce chafe to a minimum.  Height = 1/2"" (13mm), Up to 5/16"" (8mm) line.  Outside diameter (below deck) 5/8"" (15mm), Outside diameter (lip above deck) 7/8"" (22mm)",https://hardware.schaefermarine.com/collections/deck-hardware/products/thru-deck-fairlead-76-06-up-to-5-16-8mm-line
Backing Plate for 78-01,97-51,$21.45,Backing plate for 78-01,https://hardware.schaefermarine.com/collections/deck-hardware/products/backing-plate-for-78-01-97-51
Eye Strap 5/16 Rod,78-37,$39.95,"Eye Width 1"" (25 mm), Eye Height 3/4"" (19 mm), L 3-1/2"" (89 mm), W 5/16"" (8 mm), Fasteners (2), 5/16"" RH (8 mm), C/C 2-1/2"" (64 mm), SWL 1000 lbs. (545 kg), Weight 1.5 oz. (43 g)",https://hardware.schaefermarine.com/collections/deck-hardware/products/eye-strap-5-16-rod-78-37
76-08 Aluminum Thru-deck,76-08,$30.60,"Machined Aluminum thru deck fairlead. Hardcoat anodized for durability.  Smooth radius edges reduce chafe to a minimum. Height = 1/2"" (13mm), Up to 5/16"" (8mm) line.",https://hardware.schaefermarine.com/collections/deck-hardware/products/76-08-aluminum-thru-deck-lead
Bulls Eye,78-51,$6.35,"Max Line 1/2"" (13 mm), L 1-7/16"" (36 mm), W 11/16"" (18 mm), H 1-5/32"" (29 mm), Bearing Height 7/16"" (11 mm), ---, Weight 2.5 oz (0.07 kg)",https://hardware.schaefermarine.com/collections/deck-hardware/products/bulls-eye-78-51
Removable Eye Deck Plate/ Assembly,78-83,$282.65,"Eye Width 5/8"" (16 mm), Eye Height 5/8"" (16 mm), Eye Stock 1/4"" (6 mm), L 3"" (76 mm), W 3"" (76 mm), Fasteners (4), 1/4"" FH (6 mm), C/C A 2"" (51 mm), C/C B 2"" (51 mm), SWL 2250 lbs. (1020 kg), Weight 9.5 oz. (269 g), deck plate hole is 3/4""-10.",https://hardware.schaefermarine.com/collections/deck-hardware/products/removable-eye-deck-plate-assembly-78-83
Stainless Steel screw eye for 78-77 base.,78-76,$72.60,"78-76 SS Screw eye works with Schaefer 78-77 Universal deck mount base.  316 SS,  height 1-23/32"" (44mm), SWL 4200 lbs.",https://hardware.schaefermarine.com/collections/deck-hardware/products/stainless-steel-screw-eye-for-78-77-base-78-76
Backing Plate for 97-42 Padeye,97-52,$32.05,Backing plate for 97-42,https://hardware.schaefermarine.com/collections/deck-hardware/products/backing-plate-for-97-42-padeye-97-52
Backing Plate for 78-07,97-53,$29.25,Backing plate for 78-07,https://hardware.schaefermarine.com/collections/deck-hardware/products/backing-plate-for-78-07-97-53
Backing Plate for 78-25 Padeye,78-26,$22.95,Backing plate for 78-25,https://hardware.schaefermarine.com/collections/deck-hardware/products/backing-plate-for-78-25-padeye-78-26
Universal Deck Mount base only,78-77,$233.00,"Universal Deck mount base only.  316 SS construction.  Works with Schaefer 70-77 8.5"" cleat, 78-76 Stainless Screw eye, 08-77 SS 8 series block, M66-07 Screw in block or M82-07 Screw in block.  All accessories sold separately.  Base is 3-5/16"" (100mm) x 3-1/8"" (79mm).  Hole diameter in deck 1-3/4"" (44mm), hole depth in deck 1-3/32"" (33mm).  Includes SS backing plate.",https://hardware.schaefermarine.com/collections/deck-hardware/products/universal-deck-mount-base-only-78-77
Stainless Steel eye for 78-81,78-82,$89.20,"Screw Plug Only for 78-81 base.  Weight 3 oz. (85 g) Safe Working Load 2250 lbs (1020kg)Thread is 3/4""-10",https://hardware.schaefermarine.com/collections/deck-hardware/products/stainless-steel-eye-for-78-81-78-82
Snubber,27-013,$307.75,"Snubber. 4 1/4"" Machined Aluminum Snubber ""drags"" halyards for safer, easier reefing. Includes Drain hole",https://hardware.schaefermarine.com/collections/deck-hardware/products/snubber-27-013
Narrow Saddle Eye Strap,78-55,$19.70,"Eye Width 3/4"" (19 mm), Eye Height 3/4"" (19 mm), L 2-5/16"" (59 mm), W 7/32"" (6 mm), Fasteners (2), 1/4"" RH (6 mm), C/C 1-3/4"" (44 mm), SWL 1000 lbs. (545 kg), Weight 1 oz. (28 g)",https://hardware.schaefermarine.com/collections/deck-hardware/products/narrow-saddle-eye-strap-78-55
Stanchion Base (Single),36-01,$186.30,"Rugged SS Base is canted 5 degrees inboard to match most deck cambers.  Features a 5/16"" (8mm) welded rod reinforcement which also serves as a bail for snatch blocks and other gear.  L 5-1/8"" (130 mm), Width 2-3/4"" (70 mm), T 1"" (25 mm), Fastners (4), 1/4"" (6 mm), Weight 14 oz. (397 g) 36-91 Backing Plate Available through Schaefer",https://hardware.schaefermarine.com/collections/deck-hardware/products/stanchion-base-single-36-01
Eye Strap Stamped,78-68,$14.65,"Eye Width 5/8"" (16 mm), Eye Height 3/4"" (19 mm), L 2-3/8"" (60 mm), W 5/8"" (16 mm), Fasteners (2), 1/4"" RH (6 mm), C/C 1-3/4"" (44 mm), SWL 800 lbs. (363 kg), Weight 1 oz. (28 g)",https://hardware.schaefermarine.com/collections/deck-hardware/products/eye-strap-stamped-78-68
Narrow Saddle Eye Strap,78-57,$8.55,"Eye Width 7/16"" (11 mm), Eye Height 7/16"" (11 mm), L 1-3/16"" (35 mm), W 5/32"" (4 mm), Fasteners (2), #8 RH (4 mm), C/C 1"" (25 mm), SWL 300 lbs. (136 kg), Weight .5 oz. (14 g)",https://hardware.schaefermarine.com/collections/deck-hardware/products/narrow-saddle-eye-strap-78-57
Backing Plate for 78-98,97-58,$19.55,Backing Plate for 78-98,https://hardware.schaefermarine.com/collections/deck-hardware/products/backing-plate-for-78-98-97-58
Delrin Plug for 78-81,78-81-02,$28.35,"Delrin Plug Only fits 78-81 base.   Weight 0.5 oz. (14 g). Thread 3/4""-10",https://hardware.schaefermarine.com/collections/deck-hardware/products/delrin-plug-for-78-81-78-81-02
Eye Strap Stamped,78-65,$6.05,"Eye Width 9/32"" (11 mm), Eye Height 9/32"" (10 mm), L 1-7/16"" (37 mm), W 1/4"" (8 mm), Fasteners (2), #10 RH (5 mm), C/C 1"" (25 mm), SWL 400 lbs. (181 kg), Weight .5 oz. (14 g)",https://hardware.schaefermarine.com/collections/deck-hardware/products/eye-strap-stamped-78-65
Eye Strap Stamped,78-67,$8.85,"Eye Width 5/8"" (16 mm), Eye Height 5/8"" (16 mm), L 2-1/16"" (52 mm), W 1/2"" (13 mm), Fasteners (2), #10 RH (5 mm), C/C 1-9/16"" (40 mm), SWL 400 lbs. (181 kg), Weight .5 oz. (14 g)",https://hardware.schaefermarine.com/collections/deck-hardware/products/eye-strap-stamped-78-67
SS Welded Pad,78-02,$57.80,"Eye Width 3/8"" (10 mm), Eye Height 3/8"" (10 mm), Eye Stock 3/16"" (5 mm), Length 1-7/8"" (48 mm), Width 5/8"" (16 mm), Fasteners (2), #10 RH (5 mm), C/C 1-5/16"" (33 mm), SWL 250 lbs (115 kg), Weight .5 oz. (14 g)",https://hardware.schaefermarine.com/collections/deck-hardware/products/ss-welded-pad-eye
Eye Strap Stamped,78-34,$18.00,"Eye Width 5/8"" (16 mm), Eye Height 5/8"" (16 mm), L 2-3/4"" (70 mm), W 1/2"" (13 mm), Fasteners (2), 1/4"" RH (6 mm), C/C 2-3/16"" (56 mm), SWL 800 lbs. (363 kg), Weight .5 oz. (14 g)",https://hardware.schaefermarine.com/collections/deck-hardware/products/eye-strap-stamped-78-34
Eye Strap Stamped,78-32,$11.20,"Eye Width 1/2"" (13 mm), Eye Height 1/2"" (13 mm), L 1-3/4"" (44 mm), W 5/16"" (8 mm), Fasteners (2), #10 RH (5 mm), C/C 1-5/16"" (33 mm), SWL 400 lbs. (181 kg), Weight .5 oz. (14 g)",https://hardware.schaefermarine.com/collections/deck-hardware/products/eye-strap-stamped-78-32
